sample_idx,crystal_idx,n_crystals,cx,cz,x_center,z_center,dist_center,dist_corner_1,dist_corner_2,dist_corner_3,dist_corner_4,mse_psi,relL2_psi
84,1,1,1.025963e-01,3.184085e-01,0.000000e+00,0.000000e+00,3.345295e-01,1.718697e+00,1.594846e+00,1.296258e+00,1.126899e+00,2.903966e-25,8.609972e-02
85,1,1,-6.249453e-01,2.818907e-01,0.000000e+00,0.000000e+00,6.855793e-01,1.335631e+00,2.069708e+00,8.101524e-01,1.776550e+00,5.428004e-25,4.930294e-02
86,1,1,7.404364e-03,-4.495279e-01,0.000000e+00,0.000000e+00,4.495889e-01,1.147991e+00,1.135018e+00,1.765218e+00,1.756809e+00,3.566533e-25,1.124967e-01
87,1,1,-2.721014e-02,2.056202e-02,0.000000e+00,0.000000e+00,3.410555e-02,1.409917e+00,1.448001e+00,1.380442e+00,1.419317e+00,5.397849e-25,1.161624e-01
88,1,1,-5.917361e-01,-5.412696e-01,0.000000e+00,0.000000e+00,8.019504e-01,6.140952e-01,1.656520e+00,1.594425e+00,2.215657e+00,4.570444e-25,6.477364e-02
89,1,1,2.181614e-01,-6.806969e-01,0.000000e+00,0.000000e+00,7.148025e-01,1.259314e+00,8.445272e-01,2.075731e+00,1.853649e+00,1.848884e-25,1.003275e-01
90,1,1,3.840898e-01,-2.499590e-01,0.000000e+00,0.000000e+00,4.582625e-01,1.574251e+00,9.705188e-01,1.864967e+00,1.393464e+00,2.255738e-25,4.418307e-02
91,1,1,-6.054417e-01,-1.903078e-01,0.000000e+00,0.000000e+00,6.346469e-01,9.007096e-01,1.798067e+00,1.253997e+00,1.998568e+00,4.658436e-25,4.432264e-02
92,1,1,-4.102342e-01,-2.716720e-01,0.000000e+00,0.000000e+00,4.920343e-01,9.371688e-01,1.587206e+00,1.401775e+00,1.898923e+00,3.173729e-25,5.071173e-02
93,1,1,-5.145739e-01,1.847857e-02,0.000000e+00,0.000000e+00,5.149056e-01,1.128245e+00,1.825166e+00,1.094999e+00,1.804804e+00,3.221701e-25,3.974741e-02
94,1,1,-4.942055e-01,3.615955e-01,0.000000e+00,0.000000e+00,6.123646e-01,1.452505e+00,2.021532e+00,8.144866e-01,1.624872e+00,3.212281e-25,4.818834e-02
95,1,1,1.693240e-01,7.640353e-01,0.000000e+00,0.000000e+00,7.825730e-01,2.116398e+00,1.949832e+00,1.192895e+00,8.635403e-01,3.757103e-25,2.154366e-01
96,1,1,-3.621355e-01,2.082836e-02,0.000000e+00,0.000000e+00,3.627340e-01,1.203728e+00,1.702206e+00,1.168610e+00,1.677555e+00,2.522092e-25,4.520536e-02
97,1,1,-5.616407e-01,-6.148839e-01,0.000000e+00,0.000000e+00,8.327800e-01,5.835009e-01,1.608427e+00,1.673323e+00,2.246458e+00,4.160855e-25,7.500870e-02
98,1,1,-1.913804e-01,-6.731604e-01,0.000000e+00,0.000000e+00,6.998367e-01,8.721753e-01,1.235399e+00,1.858314e+00,2.053985e+00,2.541317e-25,1.191014e-01
99,1,1,-1.904842e-01,5.348808e-01,0.000000e+00,0.000000e+00,5.677867e-01,1.735274e+00,1.942450e+00,9.336229e-01,1.278119e+00,3.884966e-25,1.090207e-01
100,1,1,-5.462036e-01,5.830833e-01,0.000000e+00,0.000000e+00,7.989521e-01,1.646841e+00,2.212894e+00,6.162392e-01,1.601426e+00,3.937557e-25,6.891007e-02
101,1,2,1.969584e-01,-3.562657e-01,0.000000e+00,0.000000e+00,4.070846e-01,1.359082e+00,1.029208e+00,1.808913e+00,1.576177e+00,5.453748e-24,1.007855e-01
101,2,2,7.593387e-01,-8.097596e-02,0.000000e+00,0.000000e+00,7.636441e-01,1.984913e+00,9.500121e-01,2.064893e+00,1.107442e+00,5.453748e-24,1.007855e-01
102,1,2,5.484340e-01,-2.152903e-01,0.000000e+00,0.000000e+00,5.891772e-01,1.735920e+00,9.053625e-01,1.968395e+00,1.296473e+00,1.871546e-25,4.091778e-02
102,2,2,-4.345449e-01,-7.933626e-01,0.000000e+00,0.000000e+00,9.045737e-01,6.020287e-01,1.449351e+00,1.880396e+00,2.296534e+00,1.871546e-25,4.091778e-02
103,1,2,-6.292050e-01,5.990118e-01,0.000000e+00,0.000000e+00,8.687428e-01,1.641441e+00,2.282794e+00,5.461506e-01,1.677826e+00,5.706813e-25,1.845633e-01
103,2,2,2.863411e-01,1.524194e-01,0.000000e+00,0.000000e+00,3.243807e-01,1.727062e+00,1.355500e+00,1.540476e+00,1.108017e+00,5.706813e-25,1.845633e-01
104,1,2,-3.538986e-01,-3.365137e-01,0.000000e+00,0.000000e+00,4.883499e-01,9.261000e-01,1.507732e+00,1.484492e+00,1.902448e+00,7.108354e-25,7.210473e-02
104,2,2,-3.347555e-02,-6.055591e-01,0.000000e+00,0.000000e+00,6.064837e-01,1.043912e+00,1.106190e+00,1.874030e+00,1.909422e+00,7.108354e-25,7.210473e-02
105,1,2,6.392987e-01,-6.525809e-01,0.000000e+00,0.000000e+00,9.135451e-01,1.675709e+00,5.008048e-01,2.327729e+00,1.691487e+00,3.831441e-25,7.470369e-02
105,2,2,-4.403245e-02,-5.707090e-01,0.000000e+00,0.000000e+00,5.724051e-01,1.047934e+00,1.128847e+00,1.838750e+00,1.886036e+00,3.831441e-25,7.470369e-02
106,1,2,-7.098318e-01,-1.720743e-03,0.000000e+00,0.000000e+00,7.098339e-01,1.039596e+00,1.979921e+00,1.042901e+00,1.981658e+00,7.206890e-25,6.303927e-02
106,2,2,1.631837e-01,3.037602e-01,0.000000e+00,0.000000e+00,3.448176e-01,1.747223e+00,1.549210e+00,1.355635e+00,1.088582e+00,7.206890e-25,6.303927e-02
107,1,2,7.610500e-01,-3.552492e-01,0.000000e+00,0.000000e+00,8.398804e-01,1.875367e+00,6.876051e-01,2.222161e+00,1.376153e+00,1.987966e-25,3.567197e-02
107,2,2,-3.179174e-01,-7.580147e-01,0.000000e+00,0.000000e+00,8.219841e-01,7.237358e-01,1.339949e+00,1.885697e+00,2.197162e+00,1.987966e-25,3.567197e-02
108,1,2,-6.700605e-01,3.792743e-01,0.000000e+00,0.000000e+00,7.699546e-01,1.418188e+00,2.165987e+00,7.029655e-01,1.781685e+00,3.013522e-24,8.131667e-02
108,2,2,-2.494221e-01,-1.822831e-01,0.000000e+00,0.000000e+00,3.089312e-01,1.109968e+00,1.493224e+00,1.400414e+00,1.720130e+00,3.013522e-24,8.131667e-02
109,1,2,-4.524307e-01,-1.482110e-01,0.000000e+00,0.000000e+00,4.760883e-01,1.012609e+00,1.683775e+00,1.272093e+00,1.851471e+00,6.610010e-25,6.802411e-02
109,2,2,8.834858e-02,-6.046157e-01,0.000000e+00,0.000000e+00,6.110365e-01,1.157943e+00,9.936987e-01,1.938890e+00,1.845508e+00,6.610010e-25,6.802411e-02
110,1,2,-4.175291e-01,6.779047e-01,0.000000e+00,0.000000e+00,7.961691e-01,1.776130e+00,2.196532e+00,6.655958e-01,1.453662e+00,3.774937e-25,5.498243e-02
110,2,2,7.977672e-01,3.331198e-01,0.000000e+00,0.000000e+00,8.645238e-01,2.238119e+00,1.348372e+00,1.917471e+00,6.968696e-01,3.774937e-25,5.498243e-02
111,1,2,5.136175e-02,-6.007557e-01,0.000000e+00,0.000000e+00,6.029473e-01,1.124614e+00,1.029228e+00,1.915145e+00,1.860735e+00,3.974337e-25,3.345724e-02
111,2,2,7.248783e-01,-2.298418e-02,0.000000e+00,0.000000e+00,7.252426e-01,1.982364e+00,1.015013e+00,2.005418e+00,1.059334e+00,3.974337e-25,3.345724e-02
112,1,2,2.093732e-01,-4.309356e-01,0.000000e+00,0.000000e+00,4.791061e-01,1.336569e+00,9.741278e-01,1.873542e+00,1.634829e+00,1.105710e-24,9.468455e-02
112,2,2,3.808953e-01,-6.968234e-01,0.000000e+00,0.000000e+00,7.941310e-01,1.413785e+00,6.893524e-01,2.187711e+00,1.806239e+00,1.105710e-24,9.468455e-02
113,1,2,3.393029e-01,-3.538298e-01,0.000000e+00,0.000000e+00,4.902265e-01,1.487033e+00,9.241518e-01,1.904360e+00,1.506445e+00,3.265162e-25,3.777049e-02
113,2,2,6.495466e-01,7.096457e-01,0.000000e+00,0.000000e+00,9.620332e-01,2.375688e+00,1.745195e+00,1.674906e+00,4.551079e-01,3.265162e-25,3.777049e-02
114,1,2,4.041471e-01,-3.123016e-01,0.000000e+00,0.000000e+00,5.107515e-01,1.563508e+00,9.099285e-01,1.921917e+00,1.441241e+00,4.031387e-25,1.083504e-01
114,2,2,-7.170176e-01,7.420711e-01,0.000000e+00,0.000000e+00,1.031884e+00,1.764905e+00,2.446009e+00,3.828921e-01,1.736282e+00,4.031387e-25,1.083504e-01
115,1,2,-6.480783e-01,-2.166502e-01,0.000000e+00,0.000000e+00,6.833322e-01,8.587699e-01,1.824774e+00,1.266525e+00,2.048512e+00,6.606756e-25,6.421365e-02
115,2,2,4.732394e-01,7.936368e-01,0.000000e+00,0.000000e+00,9.240210e-01,2.321113e+00,1.869388e+00,1.487622e+00,5.657407e-01,6.606756e-25,6.421365e-02
116,1,2,-4.792357e-01,-2.260647e-01,0.000000e+00,0.000000e+00,5.298793e-01,9.328297e-01,1.669465e+00,1.332077e+00,1.921295e+00,4.893174e-25,7.898898e-02
